"OBČINE",Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2006,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2007,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2008,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2009,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2010,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2011,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2012,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2013,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2014,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2015,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2016,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2017,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2018,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2019,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2020,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2021,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2022
"Dornava",2.2,3.0,4.8,3.7,3.4,3.7,1.4,5.8,1.0,2.4,4.1,2.4,3.8,3.5,2.4,3.5,1.4
"Dravograd",4.8,3.4,3.9,5.4,4.7,3.2,3.8,4.8,3.8,2.6,2.1,2.6,1.6,1.4,1.5,2.1,1.5
"Duplek",2.7,3.6,5.5,4.6,4.7,4.3,4.2,6.8,4.0,4.9,3.8,1.3,2.2,1.4,1.4,1.3,1.6
"Gorenja vas - Poljane",1.6,1.3,0.8,0.8,0,0.7,0,1.0,1.9,1.7,0.9,0.8,1.5,1.3,0.8,1.4,1.0
"Gorišnica",2.7,4.8,4.6,4.3,4.0,2.7,3.2,5.7,3.0,3.3,1.0,2.8,4.2,3.4,4.3,3.3,0
"Gorje",0.0,0.0,2.1,1.4,1.4,1.7,1.4,1.7,3.2,2.1,1.8,1.1,2.5,2.2,2.5,1.8,1.8
"Gornja Radgona",4.9,6.5,6.5,7.1,6.5,6.1,5.5,4.8,4.0,4.6,4.6,3.0,3.2,2.9,2.0,2.8,3.0
"Gornji Grad",0.0,0,0,1.9,0,0.0,1.9,1.9,1.9,1.2,2.0,0,1.2,1.6,3.2,0,1.6
"Gornji Petrovci",2.2,4.4,4.0,1.4,6.9,2.8,5.1,3.3,4.3,5.3,1.5,1.5,3.0,0,0,3.0,3.0
"Grad",4.3,3.0,2.6,1.3,2.2,1.8,2.3,3.2,0.0,1.4,2.3,0,0,0,0,0,0
"Grosuplje",2.9,3.9,5.0,3.1,2.8,5.3,5.1,6.2,6.7,4.3,3.4,4.2,4.0,4.1,2.7,2.6,2.9
"Hajdina",1.6,2.9,7.0,3.5,4.6,4.3,5.3,7.2,4.0,4.0,5.7,4.0,6.4,3.9,2.1,3.3,3.4
"Hoče - Slivnica",1.3,1.8,3.1,3.7,3.5,2.1,2.5,3.5,3.0,4.5,4.5,3.3,2.7,2.9,2.3,4.5,3.8
"Hodoš/Hodos",11.9,0,21.5,0.0,12.8,0.0,0,0.0,0.0,0,13.4,0,0.0,0,0,0.0,0.0
"Horjul",0,0,1.1,1.0,1.0,0,0,2.1,2.0,2.0,0,0,0,0,0,4.0,0
"Hrastnik",2.0,4.3,5.9,4.2,5.6,2.9,3.3,4.8,4.1,2.5,2.4,1.9,2.9,2.6,2.4,3.5,3.0
"Hrpelje - Kozina",2.5,1.2,3.2,4.1,1.7,3.3,2.8,3.5,3.3,4.1,3.2,1.4,0.7,1.8,2.1,1.0,1.2
"Idrija",1.3,1.8,1.9,0.8,1.8,1.7,1.8,2.3,1.8,1.5,1.3,2.5,1.4,1.9,1.5,1.2,1.4
"Ig",2.9,3.3,4.7,2.4,3.4,2.6,2.4,5.1,2.7,3.4,1.8,2.5,1.2,0.8,1.8,2.2,1.3
"Ilirska Bistrica",2.1,3.0,3.2,3.2,2.1,3.7,2.1,2.8,2.7,1.5,2.0,1.6,1.8,2.9,1.9,1.5,1.5
"Ivančna Gorica",2.5,1.2,2.0,1.1,1.2,1.3,0.9,2.7,1.6,2.3,2.2,1.8,1.5,1.8,0.8,1.1,1.5
"Izola/Isola",5.9,5.3,4.8,4.7,4.7,3.6,4.5,6.8,5.8,3.3,2.8,3.0,2.7,2.1,1.9,2.5,2.0
"Jesenice",6.7,6.7,7.0,4.6,4.4,4.4,4.8,4.5,5.0,2.8,3.6,2.7,3.2,3.4,2.7,2.8,2.7
"Jezersko",0,0,0,0,0.0,0,0,6.3,0.0,0.0,0.0,0,0,0,0,0,0.0
"Juršinci",2.1,3.4,4.6,3.9,4.3,4.7,2.1,3.4,2.5,3.0,4.2,5.5,2.5,3.8,2.5,3.7,0
"Kamnik",4.5,4.8,3.6,2.5,2.8,3.6,2.9,4.8,3.1,3.3,2.8,2.4,2.1,2.2,1.2,1.9,1.4
"Kanal",1.8,1.8,1.5,2.1,2.1,1.4,1.4,2.5,2.3,2.6,2.8,2.0,1.1,0.8,1.3,2.1,0.8
"Kidričevo",2.4,3.6,3.8,2.1,4.0,3.5,4.1,5.3,3.2,3.1,4.0,1.9,5.7,2.6,1.5,1.8,1.2
"Kobarid",1.6,0.9,1.2,1.2,1.7,0,0.7,0.7,2.2,1.4,1.2,1.5,0.7,1.7,1.0,0,0
"Kobilje",0,0,4.9,0,0.0,0.0,0,8.6,5.1,10.3,0,0,5.5,0,0,0,0.0
"Kočevje",5.8,4.8,9.1,9.8,10.8,9.0,9.4,12.0,11.1,8.3,9.2,6.2,8.5,8.2,6.4,8.8,8.6
"Komen",2.5,0.8,2.0,0,0.8,0.8,2.8,1.7,2.0,2.0,1.1,1.1,2.6,1.4,1.7,0.0,1.7
"Komenda",0.8,1.9,1.0,2.7,0.6,1.8,1.0,3.1,2.5,1.8,1.5,1.2,0,0.8,0,1.2,1.5
"Koper/Capodistria",5.5,4.9,4.7,4.2,4.1,3.5,5.2,6.4,5.0,4.3,3.6,2.8,3.1,2.1,1.8,1.9,1.5
"Kostanjevica na Krki",0.0,1.2,0.0,1.7,1.7,0,4.1,3.7,2.1,2.0,2.1,1.7,1.2,0,0,0,2.5
"Kostel",0,0.0,0,0,0,0,6.2,4.6,0,0,0.0,0,0,0,0,0,0.0
"Kozje",2.1,1.8,3.1,2.5,0.9,0,2.8,1.6,1.9,2.3,2.3,1.6,1.0,2.6,1.7,3.0,1.3
"Kranj",4.5,3.9,2.8,2.3,2.5,2.4,3.6,3.8,3.8,2.6,2.0,2.3,2.4,1.6,1.6,2.0,1.8
